iter	Passed	Remaining
403	10122	14932
404	10140	14897
405	10161	14866
406	10182	14835
407	10209	14813
408	10232	14786
409	10251	14751
410	10266	14712
411	10284	14677
412	10299	14638
413	10314	14600
414	10328	14559
415	10343	14519
416	10359	14482
417	10377	14449
418	10394	14412
419	10409	14375
420	10425	14338
421	10441	14301
422	10456	14263
423	10471	14224
424	10486	14187
425	10502	14151
426	10519	14115
427	10533	14077
428	10549	14040
429	10563	14003
430	10578	13965
431	10592	13927
432	10607	13890
433	10624	13855
434	10640	13820
435	10654	13782
436	10673	13751
437	10690	13717
438	10706	13682
439	10722	13646
440	10737	13610
441	10753	13575
442	10767	13538
443	10781	13501
444	10796	13464
445	10812	13430
446	10828	13395
447	10842	13359
448	10856	13323
449	10871	13287
450	10886	13252
451	10900	13215
452	10915	13181
453	10930	13144
454	10945	13110
455	10960	13076
456	10976	13041
457	10992	13008
458	11008	12975
459	11025	12943
460	11048	12917
461	11068	12888
462	11089	12861
463	11110	12834
464	11129	12804
465	11145	12772
466	11162	12740
467	11180	12709
468	11197	12677
469	11213	12644
470	11232	12615
471	11250	12585
472	11271	12558
473	11288	12526
474	11303	12493
475	11320	12461
476	11334	12427
477	11349	12394
478	11363	12360
479	11377	12325
480	11392	12292
481	11406	12258
482	11420	12224
483	11437	12193
484	11455	12163
485	11474	12135
486	11491	12105
487	11505	12071
488	11521	12040
489	11536	12007
490	11550	11974
491	11565	11941
492	11579	11907
493	11593	11874
494	11607	11841
495	11621	11808
496	11637	11777
497	11652	11746
498	11667	11714
499	11684	11684
500	11701	11654
501	11719	11626
502	11734	11594
503	11749	11562
504	11764	11531
505	11779	11499
506	11793	11467
507	11806	11435
508	11821	11403
509	11836	11372
510	11850	11340
511	11865	11309
512	11882	11279
513	11897	11249
514	11912	11218
515	11926	11186
516	11941	11156
517	11956	11125
518	11970	11093
519	11984	11062
520	11998	11031
521	12013	11000
522	12027	10969
523	12041	10938
524	12056	10908
525	12070	10876
526	12086	10847
527	12101	10818
528	12115	10787
529	12130	10757
530	12144	10726
531	12159	10696
532	12175	10667
533	12190	10637
534	12206	10609
535	12221	10579
536	12236	10549
537	12250	10520
538	12265	10490
539	12283	10463
540	12360	10486
541	12393	10472
542	12407	10442
543	12422	10412
544	12438	10384
545	12457	10358
546	12476	10332
547	12491	10303
548	12505	10273
549	12520	10243
550	12535	10214
551	12549	10184
552	12563	10155
553	12578	10126
554	12592	10096
555	12606	10066
556	12621	10038
557	12636	10009
558	12651	9980
559	12665	9951
560	12681	9923
561	12696	9895
562	12710	9865
563	12726	9837
564	12740	9809
565	12755	9780
566	12769	9751
567	12784	9723
568	12799	9695
569	12814	9666
570	12829	9639
571	12845	9611
572	12860	9583
573	12874	9555
574	12891	9528
575	12907	9501
576	12921	9472
577	12935	9444
578	12950	9416
579	12964	9388
580	12979	9360
581	12994	9333
582	13010	9305
583	13028	9280
584	13046	9255
585	13061	9227
586	13076	9200
587	13091	9172
588	13109	9147
589	13124	9120
590	13139	9092
591	13153	9065
592	13167	9037
593	13180	9009
594	13195	8981
595	13210	8954
596	13225	8927
597	13242	8901
598	13256	8874
599	13271	8847
600	13285	8820
601	13299	8792
602	13316	8767
603	13334	8742
604	13351	8716
605	13367	8691
606	13385	8666
607	13401	8640
608	13419	8615
609	13434	8589
610	13458	8568
611	13475	8543
612	13492	8517
613	13508	8492
614	13525	8467
615	13541	8441
616	13557	8415
617	13574	8390
618	13589	8364
619	13605	8338
620	13621	8313
621	13638	8288
622	13655	8263
623	13673	8239
624	13690	8214
625	13707	8189
626	13724	8164
627	13751	8145
628	13770	8121
629	13788	8097
630	13805	8073
631	13821	8047
632	13839	8023
633	13854	7998
634	13871	7973
635	13887	7948
636	13903	7923
637	13920	7898
638	13935	7872
639	13951	7847
640	13969	7823
641	13985	7798
642	14001	7773
643	14015	7747
644	14030	7722
645	14050	7699
646	14066	7674
647	14082	7649
648	14098	7625
649	14114	7600
650	14131	7575
651	14146	7550
652	14162	7525
653	14179	7501
654	14197	7477
655	14214	7453
656	14231	7429
657	14247	7405
658	14263	7380
659	14278	7355
660	14293	7330
661	14308	7305
662	14327	7282
663	14345	7258
664	14361	7234
665	14378	7211
666	14395	7187
667	14410	7162
668	14425	7137
669	14444	7114
670	14460	7090
671	14474	7064
672	14489	7040
673	14505	7016
674	14519	6991
675	14533	6965
676	14547	6940
677	14562	6915
678	14575	6890
679	14591	6866
680	14607	6842
681	14622	6817
682	14636	6793
683	14651	6768
684	14665	6744
685	14680	6719
686	14694	6694
687	14708	6670
688	14722	6645
689	14737	6621
690	14751	6596
691	14767	6572
692	14784	6549
693	14801	6526
694	14816	6502
695	14831	6478
696	14852	6456
697	14870	6434
698	14891	6412
699	14920	6394
700	14942	6373
701	14961	6351
702	14978	6327
703	14992	6303
704	15009	6280
705	15024	6256
706	15038	6232
707	15053	6208
708	15067	6184
709	15081	6160
710	15096	6136
711	15111	6112
712	15126	6088
713	15142	6065
714	15156	6041
715	15170	6017
716	15188	5995
717	15207	5973
718	15224	5950
719	15240	5926
720	15254	5902
721	15268	5879
722	15282	5855
723	15298	5831
724	15312	5808
725	15326	5784
726	15341	5760
727	15355	5737
728	15369	5713
729	15387	5691
730	15403	5668
731	15418	5644
732	15435	5622
733	15450	5599
734	15464	5575
735	15477	5551
736	15491	5528
737	15505	5504
738	15520	5481
739	15535	5458
740	15550	5435
741	15564	5412
742	15579	5389
743	15593	5365
744	15607	5342
745	15621	5318
746	15636	5295
747	15652	5273
748	15668	5250
749	15682	5227
750	15697	5204
751	15711	5181
752	15725	5158
753	15739	5135
754	15753	5112
755	15767	5088
756	15780	5065
757	15795	5042
758	15809	5019
759	15824	4997
760	15838	4974
761	15852	4951
762	15874	4931
763	15894	4909
764	15910	4887
765	15924	4864
766	15938	4841
767	15952	4818
768	15967	4796
769	15981	4773
770	15995	4751
771	16010	4728
772	16024	4705
773	16038	4683
774	16052	4660
775	16066	4637
776	16083	4615
777	16098	4593
778	16113	4571
779	16127	4548
780	16142	4526
781	16156	4503
782	16169	4481
783	16183	4458
784	16199	4436
785	16213	4414
786	16228	4392
787	16243	4369
788	16256	4347
789	16270	4325
790	16287	4303
791	16302	4281
792	16316	4259
793	16331	4237
794	16347	4215
795	16365	4194
796	16380	4172
797	16394	4150
798	16412	4128
799	16427	4106
800	16442	4084
801	16457	4062
802	16471	4040
803	16485	4018
804	16502	3997
805	16516	3975
806	16533	3954
807	16550	3932
808	16564	3910
809	16580	3889
810	16594	3867
811	16609	3845
812	16623	3823
813	16638	3802
814	16653	3780
815	16668	3758
816	16684	3737
817	16700	3715
818	16716	3694
819	16731	3672
820	16753	3652
821	16767	3631
822	16783	3609
823	16798	3587
824	16812	3566
825	16826	3544
826	16840	3522
827	16858	3501
828	16875	3481
829	16891	3459
830	16907	3438
831	16923	3417
832	16937	3395
833	16951	3374
834	16966	3352
835	16980	3331
836	16994	3309
837	17008	3287
838	17022	3266
839	17036	3245
840	17050	3223
841	17064	3202
842	17081	3181
843	17096	3160
844	17119	3140
845	17137	3119
846	17151	3098
847	17166	3076
848	17181	3055
849	17196	3034
850	17211	3013
851	17225	2992
852	17240	2971
853	17254	2949
854	17268	2928
855	17283	2907
856	17297	2886
857	17312	2865
858	17328	2844
859	17347	2824
860	17363	2803
861	17378	2782
862	17397	2761
863	17411	2740
864	17425	2719
865	17439	2698
866	17453	2677
867	17467	2656
868	17481	2635
869	17495	2614
870	17510	2593
871	17526	2572
872	17543	2552
873	17558	2531
874	17572	2510
875	17587	2489
876	17601	2468
877	17615	2447
878	17629	2426
879	17642	2405
880	17656	2384
881	17670	2364
882	17687	2343
883	17705	2323
884	17720	2302
885	17736	2282
886	17753	2261
887	17767	2240
888	17780	2220
889	17794	2199
890	17808	2178
891	17823	2158
892	17840	2137
893	17856	2117
894	17871	2096
895	17886	2076
896	17900	2055
897	17915	2034
898	17930	2014
899	17943	1993
900	17958	1973
901	17974	1952
902	17988	1932
903	18003	1911
904	18017	1891
905	18032	1870
906	18047	1850
907	18061	1829
908	18075	1809
909	18089	1789
910	18103	1768
911	18117	1748
912	18132	1727
913	18146	1707
914	18165	1687
915	18180	1667
916	18195	1646
917	18210	1626
918	18226	1606
919	18240	1586
920	18254	1565
921	18268	1545
922	18282	1525
923	18297	1504
924	18313	1484
925	18335	1465
926	18352	1445
927	18370	1425
928	18386	1405
929	18401	1385
930	18416	1364
931	18430	1344
932	18445	1324
933	18460	1304
934	18475	1284
935	18490	1264
936	18506	1244
937	18520	1224
938	18535	1204
939	18549	1184
940	18563	1163
941	18579	1143
942	18595	1124
943	18610	1104
944	18625	1084
945	18640	1064
946	18655	1044
947	18669	1024
948	18684	1004
949	18698	984
950	18712	964
951	18726	944
952	18739	924
953	18755	904
954	18771	884
955	18787	864
956	18802	844
957	18816	824
958	18835	805
959	18849	785
960	18863	765
961	18877	745
962	18892	725
963	18909	706
964	18926	686
965	18942	666
966	18955	646
967	18970	627
968	18987	607
969	19003	587
970	19019	568
971	19033	548
972	19048	528
973	19066	508
974	19083	489
975	19101	469
976	19119	450
977	19136	430
978	19154	410
979	19171	391
980	19187	371
981	19207	352
982	19224	332
983	19240	312
984	19256	293
985	19273	273
986	19290	254
987	19309	234
988	19330	214
989	19347	195
990	19367	175
991	19383	156
992	19400	136
993	19417	117
994	19433	97
995	19448	78
996	19463	58
997	19478	39
998	19493	19
999	19510	0
