iter	Logloss
0	0.5421219186
1	0.4560461036
2	0.3824614621
3	0.3113455337
4	0.26257961
5	0.226297325
6	0.1992447806
7	0.1766542927
8	0.1602356011
9	0.1452611449
10	0.1369232559
11	0.1306225484
12	0.1245676996
13	0.1182831865
14	0.1147207687
15	0.1090524002
16	0.1065200373
17	0.1036451948
18	0.1016254778
19	0.09925431908
20	0.09735323161
21	0.09645966743
22	0.09506047803
23	0.09353502173
24	0.09251367319
25	0.0913515618
26	0.09050662846
27	0.08910026312
28	0.08833682639
29	0.08769896292
30	0.08727049301
31	0.08701588163
32	0.08667928346
33	0.08623205632
34	0.0854817014
35	0.08512816698
36	0.08494071563
37	0.08467460594
38	0.08441122599
39	0.08420565333
40	0.08406635936
41	0.0835735548
42	0.08339250826
43	0.08328575133
44	0.08290682025
45	0.08280695517
46	0.08270083984
47	0.08255987542
48	0.08240880296
49	0.08228893337
50	0.08218586877
51	0.08209376532
52	0.08199978798
53	0.08192742656
54	0.08182989931
55	0.08174198062
56	0.08168086493
57	0.08159571227
58	0.08146754766
59	0.08118202501
60	0.08107653963
61	0.0810106501
62	0.08095503633
63	0.08090861816
64	0.08067708592
65	0.08064529904
66	0.08059001706
67	0.08053872852
68	0.0804879123
69	0.08042778536
70	0.08037914108
71	0.08033734949
72	0.08028485396
73	0.08024888232
74	0.08019180422
75	0.08013127099
76	0.08005077897
77	0.08000151341
78	0.07993710016
79	0.07989916658
80	0.07984634432
81	0.07980099265
82	0.07974943835
83	0.07970550191
84	0.07966481406
85	0.07964038104
86	0.07957238062
87	0.07943877855
88	0.07942060403
89	0.07936574019
90	0.0793122137
91	0.07927062187
92	0.07924775136
93	0.07920373704
94	0.07915982091
95	0.07912076668
96	0.07909164274
97	0.07906638361
98	0.07901589233
99	0.07898024412
100	0.07892890818
101	0.07889637483
102	0.07885420065
103	0.07881042165
104	0.07875491452
105	0.0787198368
106	0.0787075348
107	0.07858688988
108	0.07856190837
109	0.07852735196
110	0.07849047135
111	0.07845668359
112	0.07842491879
113	0.0783773427
114	0.07833907903
115	0.07829437064
116	0.07826060151
117	0.07823024687
118	0.07819695681
119	0.07811080048
120	0.07806489347
121	0.07804573878
122	0.07800035664
123	0.07795181393
124	0.07791748108
125	0.07788500698
126	0.07785937202
127	0.07782218162
128	0.0777793557
129	0.07774703564
130	0.07769410166
131	0.0776596503
132	0.07764081726
133	0.07761857479
134	0.0775807174
135	0.07752650362
136	0.07748307334
137	0.07744149674
138	0.07740684901
139	0.07737620151
